Title,Price,URL,Shipping,Location,Condition,Listing Type
New ListingCANON RF85mm F1.2L USM `1534,"$2,305.02",https://www.ebay.com/itm/355786424304?itmmeta=01J06RYNZT686WD4B35BRPMM2M&hash=item52d685fff0:g:Z~QAAOSwgTJmaVJb&itmprp=enc%3AAQAJAAAA4Hyqzo6wjaTk9373EALCp3OHShKE6JeXv8BxP2y8uJNZ5ocUMOiMq%2BxNlkCo8erfvuUzyW1U5QmDEjVdPrLf%2FTiRtXwoFjnm0LpYiNNTCKSaoMNCMmyyduoFz5brNUqryka4SV3Q9jD9%2BRh09edon%2FMrNblZusF700b2s1zqwOaORFaoZRVXdQW4FLnYELgAKy0HoI9Oa%2Bl5dwQl%2B%2Fl8i8mvz5YjTW7VWx65GoYgAfYryIFYGxMxRayUn0vLGa3x57GQtqJv%2F6j0LcL0vhC4a7wzewgiHlinJVbJS8Agt0H4%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,from Japan,Pre-Owned,
New ListingCANON RF85mm F1.2L USM `1526,"$2,305.02",https://www.ebay.com/itm/355786424429?itmmeta=01J06RYNZTGCRQ2JZ8933MMZEZ&hash=item52d686006d:g:nxUAAOSwivZmaVPd&itmprp=enc%3AAQAJAAAAwHGrUouq77cIsEcLNAlB1YfOLPiNXlT9BKPaeciBrKfGteaKeb%2FOZa9%2FUXY1kbaH5rn%2BKDPR94PuVZ6rCxB781mjp7ho8pRl2IzR9pQkx7OWU2TH4dr13XHKG%2FfsixtDCRZH%2BXxaOYLqC4xrq0DNHxoXMhLLSozzMPvDgcawWc%2BBh5hg7Nt%2B65WC3NsFyI94ZDRHrxveezAPMz6yBa6AmU4rQSI8Lf1S8EnkOHmDS20c31lw%2FwOSplugOpFlxf0JBQ%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,from Japan,Pre-Owned,
Canon RF 85mm f/1.2L USM Lens 3447C002,"$2,300.00",https://www.ebay.com/itm/395413931281?itmmeta=01J06RYNZTCCSSEFQ8TY8AGZSX&hash=item5c1081c511:g:x4wAAOSwxYFmSVTC&itmprp=enc%3AAQAJAAAAwOgkX669JmIHmFRwuQI6%2B4rsv6kQB6eAr0vxmLQnajk%2BxEQf9Ve%2BnRZpJHMS%2BM03cQpDBjmqoJa6buCHWjiNPyTGroMfdFLdL%2FXmGTadYytTMr3slixBlhvE82GuprCLHjcqhQB1BgpOYrgYPiu%2B37rI3TlFzhJVVg%2FGq0riL6A1HFSbd9Dk9pGg48elvImIrlFnfAGFBMu9aSct4KGxTfpqubgJZ8axS3JUEOH7y16PWzxQl0G4KqeUJWZaTREyDw%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,+$15.07 shipping,,Open Box,
Canon RF 85mm f/1.2L USM Lens,"$2,299.99",https://www.ebay.com/itm/364938864553?itmmeta=01J06RYNZTWEJBK5EAFQGNTJV5&hash=item54f80d27a9:g:mbsAAOSwMCBmSjYJ&itmprp=enc%3AAQAJAAAAwEwBd9iIKhMsSXSVh4bbQ3LhL0HiUbtTekSKR%2FsdVWRJ82tT%2F5vPA2865dHUkz%2B2Uvq1CM3DrIF2XT40dga0LaOqvjv2t4Z4CYmfAbQ1rS5x%2FhNDbtoG753j1f8I44SwikPCbDQJksZEz5I8g3ZzGeK3wNkBtI0%2FDs5YOkqjwIpuIQtqUJOD5j%2FRr1YPw8Hl2dxrAprbLfz3Ew2JsS4%2BXUGTLd1z3T2s237RrEi%2BfYdZEN3bKlT6cjOxcoWpacfhPg%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,+$13.24 shipping,,Pre-Owned,
Canon RF Lens RF85mm F1.2 L USM,"$2,049.55",https://www.ebay.com/itm/404370499986?epid=6033196160&itmmeta=01J06RYNZTHYBSE87JF5XC1163&hash=item5e265c2992:g:WJcAAOSwM1FkqR2b&itmprp=enc%3AAQAJAAAAwJGvxzyUVg0Rgxu%2FLlsreQBUXfyTvmvOwKiGFg3i9nV5oOzp24aJItsDR0loSdTP2OQ6D9mBn2eoZ1iiCLI4Ei2Ha57GUXuKQRSu8niqeSfHnTjFQMs0Osz137WnsAQH4ksYhQjEATtXcPBefXePhJTnYjAPYK5QDiHqzsrTzHXKPqFlRRlQTrgY%2F60L5MkQsMYokV%2FlI9pPG%2BZc15CRaDowcw8mqWEQOTdHVn9pLT00iPKO4Smk6pJxk7A6ZF%2B1XA%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,from Japan,Pre-Owned,
*** USED *** Canon RF 85mm f/2 Macro IS STM Lens,$419.97,https://www.ebay.com/itm/135098175981?itmmeta=01J06RYNZT5K201J13YSW6DZM5&hash=item1f747a91ed:g:4ogAAOSwLGpmZxhk&itmprp=enc%3AAQAJAAAAwGmTFgTngm722CjTHCf9iR59kXwP6MEA5PGJO7Lqcn%2FZ6Bxi3%2BKZJD%2FC1N7BVc6se6lsZqc3k69eaAxYJhGgtgQ6bwxV8L%2F8rU9e2rbzSuoP0%2FQNN3fCiyJAaiJz7pschXC%2BiRJMpNGSPmL%2FmiIzcg04Y77QJKio1wz5wsJbF8PuOa%2BbBJKyzFlYmvzIr3ooquoDCcx6W6rPw5YA0AneRUYKFtkSiREcKS72wioRJsVQ6QIk%2Fjyo9RsG0t0DMY76lQ%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,+$15.00 shipping,,Pre-Owned,
Canon RF 85mm f/2 Macro IS STM Lens #4234C002,$549.00,https://www.ebay.com/itm/395380558298?epid=24039715290&itmmeta=01J06RYNZTTZ90D8QKV2YDJ5W3&hash=item5c0e8489da:g:f2kAAOSweZNmPBeD&itmprp=enc%3AAQAJAAAA4FLOiO%2BTUQAV0te1Sm5gbmfd7pOCywRd8CqcBLbGvORzM29NYhnHcfy0fyDtEv%2BeGTeNqQr5cOFt%2BULntwZWAiK%2FaDT3BFQHF9CQ6LSTnVcDueM1ROTOFCSDub5hw3Yw0siKDGZ7vW7kOXZT0%2B2euY0TShNPEmVBsNmsmGf%2Fi3wPhkk2DfjXM078mqBsnREtoksiB9HVW4mNhUb9yRhLa2%2F0I2pceTryWsovpUF9aHrhl4iH0n5pGQ8DqZaMcwW8Jal6Lt4hC0ut0ZTzs88xZt7Utn8%2F79u08qQRAIE6Pv4P%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,,Brand New,
Canon RF 85mm F2 M IS STM Lens,$549.00,https://www.ebay.com/itm/335266618331?epid=24039715290&itmmeta=01J06RYNZT4VJ9RREA3FYXQFJN&hash=item4e0f729bdb:g:ylwAAOSwpHhl1Ez8&itmprp=enc%3AAQAJAAAA4NlA1S2pJyWaAqkpPaYYLL60FIwYpeThPVJbTeV%2B91zWSyHlXG4PgRXYMD9OUrun5ez4aId3EI9vB8G3ES7HDpccGsKC1SccoBvdfwC3cVtvNefV--tXdPcRmKKjGxgZs7xrDEoJrVwCabWvY73ZDGhD3M8Tq7OZtT53Psa6kqYNjk2IvzERyYS4CrG7zbnE48JNeuYXrvNc99e%2FS3zhFQKGdwsj12H2o7yy0dH3i48j6%2BmykEouoE8INb4rGSOr5yBtJHDqq2S1W015CyhdbZzc9%2BzqQ%2BGa3Omsm0VZcDfO%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,,Brand New,
Canon RF 85mm f/2 Macro IS STM Lens 4234C002,$535.97,https://www.ebay.com/itm/393797539336?epid=24039715290&itmmeta=01J06RYNZTPJEWCNDHDE0A84C1&hash=item5bb0299608:g:AfIAAOSwa~dkHMO-&itmprp=enc%3AAQAJAAAAwMP30oH9tZImLn4dTijzUVPVH9Kdmk3oFlqNXfxyjwzCk1fswkadh08hE8IAQswxZ%2FmipJsaTdxq6OdIxco5fVFVRmFjWKUEdeDgCna1cQS4lsu36oKOlset%2FppI7rG7k%2BOCLD2s4SHkWU4MNkde12jqDM1uuoO2Kva8aKT79V6RYMV6Sk7eN65s10AN9TSDFtF2w1DD4ElnQdhSQwLFUilr0curp4R3G3i%2BKjeLUVFoYXxI7SlKZQNDefGATOWQrA%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,,Brand New,
Canon RF 85mm f/2 Macro IS STM Lens + FREE HOYA NXT+ UV *NEW*,$549.00,https://www.ebay.com/itm/355678527862?epid=24039715290&itmmeta=01J06RYNZTPX7V66J5AB3ZB56X&hash=item52d017a176:g:eqcAAOSwLSZfkf-T&itmprp=enc%3AAQAJAAAAwEk%2B5b0DzILTsIJ%2BEPMk%2FFR2pnDETRbivfoTuVjyxZ77Y5WltGpzMcOagIOuV1shVZZiwwaUbyjaLU2PAJmY9yAbA%2Ft%2BfwNOxMmwPFdBc8%2B%2FgiCumMtpCrpeDcY8nE4lyJ6RbnGXrlDPk9Ws4ybgjs1oRSKKPZ3jpmboM85eRr%2BSUlPbCy4U3booMzurXJMfJ9M42WSpXdZ9LtWepbzuMID9j2bA%2BJltMj%2B6tLf6r1JG8GSzTCqt9rETLLpXiUMw8A%3D%3D%7Ctkp%3ABk9SR5jg-tiBZA,,,Brand New,
