Title,Price,URL,Shipping,Location,Condition,Listing Type
Canon RF 100-500mm f/4.5-7.1 L IS USM Telephoto Zoom Lens w/Case [Mint in Box],"$2,269.99",https://www.ebay.com/itm/145827003878?epid=10039721902&itmmeta=01J06JVTDG46XKDSCWN6T4Y556&hash=item21f3f77de6:g:BgAAAOSwQYpmaEHL&itmprp=enc%3AAQAJAAAA4HrTBFzfIxMTTiaa1HAUGnA9p%2ByuaN3Hihr9vw0H5932fqXUN8PO2ZXuwfYPKvBl9DuyvQF51j5TK1n1adECDjBKJZ1N5Y5yT5dUsyzkrdKq6YETgkMejF8uI7xG3ylI41ARUz5pIrX7DcyTuOQSHs19yDY1gfrOkoP0Sqkns2HhAc4IYEYNcdHP1tJuMfBxNen9p7vZ1Sq0qKbSXLc3NvVLWlni0l43TbqwyUS%2FEvWHXieSQoxqWVLv0mwBtXC%2BhmPEWA5n%2BUkfDgBXqsRc7in4IWjO4SfyboFPDEM9Kdri%7Ctkp%3ABk9SR_6m79KBZA,+$49.99 shipping,from Japan,Pre-Owned,
Canon RF 100-500mm f/4.5-7.1 L IS USM Lens with 3-Piece Filter Kit & More,"$2,454.95",https://www.ebay.com/itm/196252992001?itmmeta=01J06JVTDG29MTVYHCMHM76E0R&hash=item2db1970201:g:qIQAAOSwKdpl0zhE&itmprp=enc%3AAQAJAAAA4PbSCIFt2pA2hfKHaYycMytXb%2BmxHWE0jyU1IS1v7e%2F59XPjhTe%2B5DFG5prHSHUjuwqP6qZ%2Fj7uZZtaNYl6ecbacW96M--j0joV%2BfWPXLinW0LmyWwWCWm8lQAIKHDcdnRKdfXW68IXVO4BEfsEkj8vvwrPtReld64NTXYR1pVJ7MGYRh%2B6sZhZy25dul8QYeZJtBIEFkqXKMB6usTgENQOAUdwgoRKdnaffAF%2BT%2B079vxrHPEoKr7enwl062C0TGqy9yGnBraifaQKlHdTYDrs22WP5CY%2FdA5xtjq70f5d6%7Ctkp%3ABk9SR_6m79KBZA,,,Brand New,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens,"$2,529.99",https://www.ebay.com/itm/175106064130?epid=10039721902&itmmeta=01J06JVTDG51AY26T5DC94MP96&hash=item28c5227f02:g:rEIAAOSwz9Rh3fia&itmprp=enc%3AAQAJAAAAwA6zXyJyWXGX9kly8bFs52xhvtw1gWRp0ORZVIGHDMaV0iRn0rDjg5yE%2BhzZRjPy%2FfD0qUPvJpc3flZblyk%2BC%2FYAcE681f5%2Btg4547gHXLCRg9XSxmvShT5zmM9aO%2BWzpVVXJHWAMrQe4%2BUR3KgifBr4i8GZfLPeFvJzkXaHZBYhEsO7sL0RHiNHX%2Bctt0XzJLr6KT5ql8Sr%2FBbBxmLN1sgySZoXRU0HNaiB3Y84WN%2F5tJN9qcS6MCAuDGpa99xUUQ%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Brand New,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens,"$2,699.00",https://www.ebay.com/itm/294927904666?epid=10039721902&itmmeta=01J06JVTDG5JN5A793RY285VZK&hash=item44ab12af9a:g:44MAAOSwhtZl-TwY&itmprp=enc%3AAQAJAAAAwEZND4cKMAbfQHl5X1iFzJ3BECxMEHVQt8w2EAgSOFJqCaJEyPgCqOwnY%2FE6tkwF54G%2B6imoe%2FHVe7Js5aCYxw12UktNy%2F0W2YYTlstOVc%2F8lfAy1PST5ZW5mYrjYbRro3cxwHZcfXdFUbYAJKrfMqYip3wyDf6BffVwGdOSNvdtYcADQi72CopmzHZJZll7faAQH3M0DEkImrREXQbfAXaaHJQOa%2F1wa8Q%2FVEK4aIyVxAwTwj%2BwFAmKXw8iQsJuUQ%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Brand New,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens,"$2,479.99",https://www.ebay.com/itm/276485258181?epid=10039721902&itmmeta=01J06JVTDGCSBPNQ0WWW8PDXK8&hash=item405fce3bc5:g:dt4AAOSwZ0dmVhjS&itmprp=enc%3AAQAJAAAA4FEXkJTCKVnJ1SLK%2BD04TNN3JZXXwdXdEjz95dHMHSM88wFdIJSXzjWDqgSZeKjbNoBh1J5PUjaTKHt3Vn9RziJOgFjPM2u8ihlZgOkZ%2FRN7KRkdN2gOgoJC%2FBbxCQbvFpOpx9ret3%2BP7U6d%2BNkD%2FVFNi9ls7Gb3PFVdTgRSXEMaLw1tmu4ZWl9pjt15Hfo8wQrjeiVd%2BMm5UbH2uSeJY7BAwK5viDkkwm3BWyIZdFTp4CrZvpvRnKBUxO7Kl8XiMWpoE4dFm%2BrqtYoMLNTMW4r5hS7Md7fqUPyHLWbTK32o%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Pre-Owned,
Canon RF100-500mm F4.5-7.1 L IS USM `8354,"$1,950.66",https://www.ebay.com/itm/355468674959?itmmeta=01J06JVTDGHVET0C3ZQE9V5RN8&hash=item52c395878f:g:mEsAAOSwvgBlzxuy&itmprp=enc%3AAQAJAAAAwE4qjy2o3oi6mQA2OL3GRuLwaHf6gKGUrVZ04%2FSrbK0mta5zli5BLOjQI%2FV7LOSGckbs8QPXf%2BUPI6yffPb6P2XXsidvE4bDUYBTpR1WtCZw41WldfavVABWmLee0tyfr0bR%2BYbaAUGh45XHGR%2FyhSv0Js32oHsM4l5z2bdokSYOoerHuFRr%2FIlyWnJtiW6i%2FyGbU5%2BMOccqwtIxzZkdzHk%2Fa054ljTxr3Ka7ULjTwza4hyhnIowv%2BvfoOyN3295zQ%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,from Japan,Pre-Owned,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens - 4112C002,"$2,539.95",https://www.ebay.com/itm/293802883178?epid=10039721902&itmmeta=01J06JVTDGASV1X9R8H3RG4NT9&hash=item446804386a:g:-usAAOSwLGRfheM8&itmprp=enc%3AAQAJAAAAwJ6QuhM0uT0eIeqP0L5J0ZCPy9y0%2F4me0RwpiMRk7t4iixmI2wI0Y%2FHp867%2B8nNEsZqBWosfEVsu01tohtfIb%2BAVGUUcvYPyyB3FbuLAdOJZ9HOtJ%2Fp06dnfjZQlivyaDLGIVWHUwzTbCGGWfsaOJSFqlrepduWaYHeV85Wr3YNJeiQbE1ooMpuNdcRagFLpUxz4qus%2Bs%2FhDtY4Ml0a6KKKbQugARwYzhUALVLwYWn8kDuEONotW3WeSYCdRXeSZbg%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Brand New,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens,"$2,699.00",https://www.ebay.com/itm/196061106076?epid=10039721902&itmmeta=01J06JVTDGJW2RDYHSR8THXGBZ&hash=item2da6270f9c:g:bR4AAOSwnlZlQyEz&itmprp=enc%3AAQAJAAAAwMrz3NkhemYTzI7yTdBJJ%2BgWBVvpFa27Cz%2F8V%2FVgv8erqghjAJDkbr1Jiif9HOXWVAdPdZ4zX97tzlfFhUA2KdPsnYX6wWkawOvC50gCfsESSABCJTU8Av74Y8xbXjEVBF%2FGoDU%2FYBORXtdA10WWyrhpJmF3O0w4EtZCgvmim5nk0MeJh1XvI8gPM0PAeCaUFToQphaGo0qvgXiMkbcB686boEtUmA4yKUwhOoNq8xXkzHdbvoib1vKEzGCT%2B921Dg%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,,,Brand New,
Canon RF 100-500mm f/4.5-7.1 L IS USM Lens #4112C002,"$2,699.00",https://www.ebay.com/itm/395378175358?epid=10039721902&itmmeta=01J06JVTDGVY7NE1VH1JVXSNN4&hash=item5c0e602d7e:i:395378175358&itmprp=enc%3AAQAJAAAA4HtAsOJmYE%2BWosfNskTfheiXJVynG1AnvxFpJTANq9EgU7e1sFQ8lpVzywIzWLkjOgPqOrcg9X7RBY%2B2VtKPrUAw%2BB4avQyh2%2FdTvOnpsMe1Ry1O40jSJuz91LEgKk0mEZq3jRBY6ljPq7Uutam8%2BPtOzsZUTW4LRW6Wabhf3TwjU%2BB5z7qMAPTHDWRdIA5a6THmzLSBwEaQkGcNaH76rEbGbA%2BslWVpqyt%2FudECqQxe8oVx9p9bio3V6h80DZwzl%2FiBd3bLkf%2BYk0U0xIkGYazuROqH0w8XtblUK9wuXd4k%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Brand New,
Canon RF 100-500mm F4.5-7.1 L IS USM  Lens,"$2,699.00",https://www.ebay.com/itm/235522755538?epid=10039721902&itmmeta=01J06JVTDG00WH7YEWJJVVYK4V&hash=item36d6400bd2:g:MMYAAOSwjPJmHU9N&itmprp=enc%3AAQAJAAAAwD72sVEVAlIETUwfMFEDfSatq81nVYuFr4fYf%2FWMy7c6w9dQ8WUBVSYlTK4h47F%2F9zSUyad8RE%2FaFAvsttWieQgpky%2Bjx43ATOSI4MJPzGypi%2FvdBSlrLZgqq6hPk%2F2cAspoGYehFr32b6eh0vUzDiHIetFPbfZmAB0088n5urop5KS3i7eKr35P%2FGrjWyivQY1WhoxaPdTbh0pZIIKS0hMJNbaU1sa3HAkHE1qVrVDMksHi0%2BSagAXxGKuHb45HXA%3D%3D%7Ctkp%3ABk9SR_6m79KBZA,Free shipping,,Brand New,
